Investigator,,Time (s),Electrode,Amplitude (mV)
,,00500.968720,A2_33,0.02
,,00500.974320,A2_21,0.016
,,00500.988400,A2_66,0.023
,,00500.991120,A2_21,0.026
,,00500.997680,A2_33,0.014
,,00501.008480,A2_24,0.02
,,00501.013120,A2_21,0.015
,,00501.021360,A2_24,0.02
,,00501.022000,A2_21,0.016
,,00501.030640,A2_33,0.016
,,00501.044320,A2_21,0.014
,,00501.058400,A2_66,0.02
,,00501.107760,A2_33,0.017
,,00501.133360,A2_33,0.015
,,00501.136800,A2_66,0.015
,,00501.162080,A2_33,0.014
,,00501.218880,A2_33,0.015
,,00501.223200,A2_66,0.014
,,00501.223280,A2_22,0.014
,,00501.226240,A2_21,0.024
,,00501.239360,A2_24,0.021
,,00501.239920,A2_21,0.012
,,00501.286480,A2_66,0.014
,,00501.315360,A2_33,0.017
,,00501.337440,A2_66,0.014
,,00501.354080,A2_33,0.013
,,00501.386800,A2_33,0.025
,,00501.422400,A2_33,0.017
,,00501.474320,A2_33,0.013
,,00501.499440,A2_66,0.016
,,00501.559920,A2_24,0.019
,,00501.589040,A2_33,0.013
,,00501.621680,A2_33,0.014
,,00501.683440,A2_33,0.013
,,00501.793040,A2_24,0.02
,,00501.806800,A2_24,0.019
,,00501.815120,A2_33,0.013
,,00501.893600,A2_33,0.013
,,00502.611600,A3_31,0.02
,,00502.834880,A2_21,0.019
,,00502.945600,A2_21,0.015
,,00503.112000,B2_32,0.022
,,00503.113280,B2_23,0.03
,,00503.133120,B2_23,0.022
,,00503.146000,B2_23,0.023
,,00503.173760,B2_23,0.023
,,00503.220320,B2_23,0.022
,,00503.239440,B2_23,0.021
,,00503.256800,B2_32,0.013
,,00503.257680,B2_23,0.022
,,00503.275520,B2_32,0.012
,,00503.292000,B2_23,0.023
,,00503.307360,B2_32,0.015
,,00503.324800,B2_23,0.025
,,00503.382240,A3_31,0.017
,,00503.391760,B2_23,0.023
,,00503.424080,B2_23,0.02
,,00503.454640,B2_23,0.021
,,00503.530640,B2_23,0.025
,,00503.572160,B2_32,0.013
,,00503.573120,B2_23,0.019
,,00503.700480,B2_32,0.014
,,00503.774000,B2_23,0.023
,,00503.827040,B2_32,0.016
,,00503.827920,B2_23,0.026
,,00503.913760,B2_23,0.022
,,00503.946560,B2_23,0.022
,,00503.978640,B2_23,0.023
,,00504.015120,B2_23,0.021
,,00504.048000,B2_23,0.02
,,00504.122160,A3_67,0.013
,,00504.126000,B2_32,0.013
,,00504.126960,B2_23,0.025
,,00504.143920,A3_21,0.02
,,00504.208640,A3_31,0.017
,,00504.240640,B2_23,0.024
,,00504.245600,A3_31,0.016
,,00504.285200,B2_23,0.024
,,00504.316800,B2_23,0.025
,,00504.346400,B2_23,0.023
,,00504.385280,A3_31,0.013
,,00504.391280,B2_23,0.021
,,00504.452000,B2_23,0.022
,,00504.524560,A2_21,0.024
,,00504.559760,B2_32,0.011
,,00504.605840,A3_21,0.012
,,00504.662320,B2_23,0.021
,,00504.712880,B2_23,0.026
,,00504.775520,B2_32,0.016
,,00504.776560,B2_23,0.025
,,00504.915840,B2_32,0.017
,,00504.916880,B2_23,0.026
,,00504.938720,B2_23,0.024
,,00504.972240,B2_23,0.022
,,00504.983680,B2_23,0.025
,,00504.996640,B2_32,0.01
,,00505.027040,B2_23,0.025
,,00505.040720,B2_23,0.023
,,00505.102080,B2_23,0.021
,,00505.157200,B2_32,0.014
,,00505.234800,B2_23,0.021
,,00505.273760,B2_32,0.012
,,00505.274720,B2_23,0.023
,,00505.325120,B2_23,0.023
,,00505.372960,B2_23,0.022
,,00505.375040,A2_22,0.021
,,00505.396480,A2_24,0.026
,,00505.416320,A2_22,0.011
,,00505.416560,A2_11,0.021
,,00505.432320,A2_33,0.015
,,00505.433840,A2_66,0.022
,,00505.438400,A3_31,0.018
,,00505.442320,A2_24,0.015
,,00505.456000,A2_46,0.017
,,00505.473680,A2_13,0.018
,,00505.476000,A2_33,0.016
,,00505.501520,A2_22,0.014
,,00505.502800,A2_66,0.019
,,00505.504720,B2_23,0.025
,,00505.505040,A2_33,0.017
,,00505.506000,A2_21,0.022
,,00505.523280,A2_24,0.018
,,00505.523680,A2_21,0.023
,,00505.526720,A2_33,0.018
,,00505.531280,A2_33,0.016
,,00505.538480,A2_22,0.016
,,00505.538560,A2_33,0.017
,,00505.548160,A3_21,0.015
,,00505.552640,A2_33,0.018
,,00505.552640,A2_66,0.023
,,00505.594400,A2_24,0.022
,,00505.624480,A2_66,0.011
,,00505.645680,A2_24,0.017
,,00505.651360,B2_32,0.012
,,00505.654320,A2_22,0.013
,,00505.656960,A2_21,0.021
,,00505.662480,A2_33,0.017
,,00505.670880,A2_21,0.015
,,00505.671600,A2_33,0.017
,,00505.701440,A2_66,0.02
,,00505.726320,B2_23,0.02
,,00505.729280,A2_33,0.016
,,00505.734320,A2_22,0.014
,,00505.735280,A2_66,0.018
,,00505.744640,A2_33,0.014
,,00505.749920,A2_33,0.013
,,00505.752720,A2_31,0.012
,,00505.771920,A2_33,0.016
,,00505.780240,A2_66,0.014
,,00505.784000,B2_32,0.015
,,00505.785040,B2_23,0.024
,,00505.832560,A2_24,0.019
,,00505.866720,A2_33,0.016
,,00505.891600,B2_23,0.021
,,00505.919600,A2_33,0.016
,,00505.938000,A3_21,0.02
,,00505.952480,B2_23,0.02
,,00505.957680,A2_33,0.02
,,00505.966720,A2_66,0.013
,,00506.003440,A2_33,0.017
,,00506.057680,A2_33,0.016
,,00506.106640,A2_33,0.013
,,00506.198000,A2_24,0.024
,,00506.239360,B2_32,0.013
,,00506.240560,B2_23,0.027
,,00506.252240,A2_46,0.017
,,00506.258400,B2_43,0.012
,,00506.291840,B2_23,0.019
,,00506.306960,B2_32,0.013
,,00506.353840,B2_23,0.023
,,00506.372560,B2_32,0.014
,,00506.401920,B2_23,0.018
,,00506.535760,B2_32,0.013
,,00506.536800,B2_23,0.026
,,00506.585200,B2_32,0.013
,,00506.586240,B2_23,0.029
,,00506.641520,B2_23,0.019
,,00506.673280,A3_21,0.013
,,00506.806880,B2_23,0.03
,,00506.829280,A3_21,0.019
,,00506.992000,A3_21,0.009
,,00507.188880,A3_21,0.017
,,00507.576880,A2_21,0.025
,,00507.594160,A3_21,0.019
,,00508.540960,A3_21,0.019
,,00508.965280,A3_31,0.02
,,00509.553840,A2_21,0.024
,,00510.932720,A3_31,0.019
,,00510.957840,A2_21,0.018
,,00511.469840,A3_31,0.018
,,00512.517680,A2_21,0.027
,,00513.449280,A2_24,0.024
,,00513.456960,A2_24,0.021
,,00513.466080,A2_24,0.015
,,00513.478400,A2_24,0.015
,,00513.480080,A2_11,0.024
,,00513.480080,A2_22,0.014
,,00513.493920,A2_66,0.021
,,00513.496960,A2_33,0.012
,,00513.526320,A2_33,0.017
,,00513.530960,A2_33,0.013
,,00513.535280,A2_33,0.022
,,00513.547200,A2_33,0.016
,,00513.550240,A2_22,0.014
,,00513.552000,A2_13,0.014
,,00513.555520,A2_66,0.023
,,00513.564400,A2_32,0.014
,,00513.566560,A2_33,0.013
,,00513.566960,A2_21,0.027
,,00513.576640,A2_24,0.014
,,00513.579200,A2_33,0.015
,,00513.583760,A2_21,0.03
,,00513.586800,A2_66,0.016
,,00513.594800,A2_21,0.012
,,00513.596960,A2_33,0.022
,,00513.599600,A2_28,0.009
,,00513.600560,A2_24,0.021
,,00513.603360,A2_21,0.021
,,00513.612800,A2_33,0.017
,,00513.625760,A2_66,0.018
,,00513.636720,A2_32,0.016
,,00513.641360,A2_33,0.018
,,00513.644240,A2_22,0.019
,,00513.652400,A2_33,0.019
,,00513.653120,A2_22,0.013
,,00513.656080,A2_33,0.011
,,00513.657600,A2_22,0.011
,,00513.669280,A2_33,0.025
,,00513.670640,A2_24,0.016
,,00513.675600,A2_56,0.012
,,00513.676480,A2_66,0.015
,,00513.681280,A2_22,0.011
,,00513.697440,A2_66,0.025
,,00513.699360,A2_22,0.012
,,00513.700640,A2_21,0.03
,,00513.703760,A2_21,0.013
,,00513.714720,A2_33,0.02
,,00513.722240,A2_14,0.012
,,00513.732080,A2_33,0.013
,,00513.745840,A2_33,0.017
,,00513.753440,A2_66,0.018
,,00513.773360,A2_33,0.014
,,00513.841120,A2_33,0.013
,,00513.864400,A2_24,0.017
,,00513.910480,A2_33,0.015
,,00513.973520,A2_33,0.014
,,00514.007120,A2_24,0.019
,,00514.035360,A2_33,0.017
,,00514.044320,A2_66,0.013
,,00514.081120,A2_33,0.018
,,00514.090560,A2_22,0.011
,,00514.090880,A2_11,0.022
,,00514.119120,A2_24,0.024
,,00514.124160,A2_46,0.016
,,00514.267040,A2_66,0.02
,,00514.273840,A2_22,0.017
,,00514.275920,A2_24,0.022
,,00514.301680,A2_33,0.012
,,00514.413280,A2_33,0.013
,,00514.441760,A2_24,0.019
,,00514.457040,A2_46,0.016
,,00514.478960,A2_33,0.014
,,00514.754800,A2_22,0.014
,,00514.947040,A2_21,0.02
,,00514.995600,B2_23,0.026
,,00515.006000,B2_32,0.014
,,00515.006880,B2_23,0.023
,,00515.028480,B2_23,0.022
,,00515.040160,B2_43,0.014
,,00515.042800,B2_23,0.024
,,00515.070560,B2_23,0.02
,,00515.105600,B2_32,0.013
,,00515.122240,B2_23,0.022
,,00515.140160,B2_32,0.012
,,00515.180640,B2_23,0.022
,,00515.216800,B2_23,0.022
,,00515.241520,B2_23,0.021
,,00515.270160,B2_32,0.012
,,00515.312000,B2_23,0.025
,,00515.377520,B2_23,0.023
,,00515.522800,B2_32,0.015
,,00515.523840,B2_23,0.022
,,00515.567680,B2_23,0.024
,,00515.608880,B2_32,0.013
,,00515.639280,B2_23,0.026
,,00515.691520,B2_23,0.037
,,00515.794800,B2_23,0.02
,,00515.842960,B2_23,0.02
,,00515.952480,B2_23,0.025
,,00515.992880,B2_23,0.023
,,00516.034640,B2_32,0.012
,,00516.112560,B2_32,0.013
,,00516.113520,B2_23,0.024
,,00516.148640,A3_31,0.019
,,00516.167920,B2_32,0.013
,,00516.219040,B2_32,0.014
,,00516.220000,B2_23,0.022
,,00516.280160,A2_21,0.014
,,00516.298320,B2_32,0.012
,,00516.346720,B2_32,0.012
,,00516.349920,A2_21,0.014
,,00516.371280,A3_31,0.019
,,00516.400800,B2_32,0.012
,,00516.408000,A3_21,0.013
,,00516.455120,A3_26,0.014
,,00516.479760,B2_32,0.014
,,00516.480800,B2_23,0.022
,,00516.553520,B2_23,0.022
,,00516.617120,B2_23,0.024
,,00516.661840,A3_21,0.017
,,00516.688960,B2_23,0.022
,,00516.942560,B2_32,0.014
,,00516.943680,B2_23,0.024
,,00516.978240,B2_23,0.037
,,00517.039360,B2_23,0.027
,,00517.058800,B2_23,0.025
,,00517.084240,B2_23,0.026
,,00517.110640,B2_23,0.025
,,00517.158480,B2_23,0.028
,,00517.248240,B2_32,0.012
,,00517.268720,B2_23,0.024
,,00517.304960,B2_23,0.025
,,00517.377600,B2_23,0.024
,,00518.068880,A2_21,0.026
,,00518.150080,A2_21,0.018
,,00518.188080,B2_32,0.013
,,00518.189200,B2_23,0.029
,,00518.229680,B2_32,0.012
,,00518.230720,B2_23,0.022
,,00518.246000,A3_31,0.021
,,00518.315280,B2_32,0.014
,,00518.316400,B2_23,0.03
,,00518.635760,B2_32,0.013
,,00518.640080,A2_22,0.022
,,00518.644000,A2_24,0.024
,,00518.670320,A2_66,0.024
,,00518.682080,A2_24,0.027
,,00518.682800,A2_22,0.018
,,00518.705840,A2_46,0.017
,,00518.714320,A2_22,0.011
,,00518.717520,A2_46,0.016
,,00518.726240,A2_33,0.022
,,00518.732480,A2_21,0.029
,,00518.733760,A2_24,0.017
,,00518.736560,A2_66,0.021
,,00518.738000,A2_22,0.016
,,00518.747120,A2_33,0.018
,,00518.750000,A2_33,0.016
,,00518.750720,A3_31,0.018
,,00518.751920,B2_23,0.022
,,00518.755120,A2_21,0.029
,,00518.758080,A2_33,0.015
,,00518.765280,A2_33,0.017
,,00518.769120,A2_66,0.02
,,00518.774480,A2_21,0.015
,,00518.780160,A2_33,0.015
,,00518.796400,B2_32,0.013
,,00518.802560,A2_33,0.018
,,00518.805840,A2_33,0.013
,,00518.811920,A2_33,0.016
,,00518.816880,A2_66,0.019
,,00518.820640,A2_24,0.021
,,00518.837440,A2_33,0.015
,,00518.846400,B2_23,0.027
,,00518.857120,A2_33,0.015
,,00518.867520,A2_66,0.035
,,00518.869760,A2_22,0.017
,,00518.870480,A2_66,0.011
,,00518.876240,A2_33,0.014
,,00518.884720,A2_21,0.019
,,00518.888080,A2_24,0.015
,,00518.892960,A2_66,0.017
,,00518.923600,A2_66,0.013
,,00518.950800,A2_33,0.013
,,00518.952880,A2_66,0.011
,,00518.972880,A2_33,0.015
,,00518.974000,A2_21,0.01
,,00518.982880,A2_33,0.015
,,00518.984320,B2_23,0.021
,,00518.998160,A2_33,0.015
,,00519.031920,A2_33,0.014
,,00519.036640,A2_24,0.021
,,00519.059440,A2_33,0.016
,,00519.062160,B2_23,0.025
,,00519.124400,B2_23,0.018
,,00519.139520,A2_33,0.014
,,00519.150800,A2_24,0.017
,,00519.151360,A2_66,0.019
,,00519.174320,A2_33,0.015
,,00519.204800,A2_33,0.016
,,00519.237200,B2_32,0.015
,,00519.238240,B2_23,0.022
,,00519.258960,A2_33,0.015
,,00519.296640,A2_33,0.015
,,00519.309280,A2_24,0.017
,,00519.357520,A2_66,0.012
,,00519.409680,A2_33,0.015
,,00519.472320,A2_33,0.013
,,00519.492240,A2_33,0.013
,,00519.494400,B2_32,0.013
,,00519.495440,B2_23,0.026
,,00519.560320,B2_32,0.014
,,00519.623840,A2_24,0.018
,,00519.638960,A2_24,0.019
,,00519.738320,B2_32,0.016
,,00519.834960,A2_33,0.013
,,00519.839680,A2_53,0.012
,,00520.081600,A2_24,0.015
,,00520.547280,A2_21,0.024
,,00521.968000,A3_21,0.018
,,00522.302480,A3_21,0.015
,,00522.366080,A3_31,0.017
,,00522.401920,A3_21,0.013
,,00522.822080,A3_31,0.02
,,00523.238880,A3_21,0.011
,,00523.432400,A3_21,0.012
,,00523.448080,A2_46,0.018
,,00523.588720,A3_21,0.013
,,00523.737040,A2_21,0.022
,,00523.820400,A2_21,0.022
,,00524.230480,A3_21,0.012
,,00524.550400,A3_21,0.017
,,00524.846800,A3_21,0.011
,,00525.524000,A2_21,0.022
,,00525.590880,A2_21,0.02
,,00527.656480,A3_31,0.02
,,00527.659840,A2_21,0.027
,,00527.707360,B2_43,0.008
,,00527.708800,B2_32,0.018
,,00527.709920,B2_23,0.034
,,00527.720720,B2_23,0.029
,,00527.744480,B2_32,0.012
,,00527.755120,B2_32,0.015
,,00527.755680,B2_23,0.04
,,00527.758560,A2_21,0.012
,,00527.773600,B2_32,0.014
,,00527.789760,B2_23,0.024
,,00527.874480,B2_23,0.022
,,00527.895360,B2_43,0.01
,,00527.898640,B2_23,0.029
,,00527.990400,B2_32,0.012
,,00528.054400,B2_23,0.022
,,00528.085040,B2_43,0.011
,,00528.087520,B2_32,0.013
,,00528.139360,B2_23,0.029
,,00528.168080,B2_32,0.012
,,00528.169040,B2_23,0.022
,,00528.305760,B2_32,0.015
,,00528.306800,B2_23,0.022
,,00528.379040,B2_32,0.012
,,00528.379760,B2_23,0.032
,,00528.433840,B2_32,0.014
,,00528.490960,B2_32,0.014
,,00528.491920,B2_23,0.023
,,00528.531680,B2_23,0.024
,,00528.563600,B2_32,0.013
,,00528.603200,B2_32,0.014
,,00528.604240,B2_23,0.024
,,00528.680880,B2_23,0.024
,,00528.714720,B2_32,0.013
,,00528.851920,B2_23,0.022
,,00528.917680,B2_32,0.013
,,00528.918720,B2_23,0.026
,,00528.983680,A3_31,0.018
,,00528.990160,B2_23,0.019
,,00529.116560,A3_31,0.021
,,00529.142960,B2_32,0.014
,,00529.303600,B2_23,0.033
,,00529.493600,A2_21,0.021
,,00529.653760,B2_32,0.012
,,00529.654880,B2_23,0.029
,,00529.950800,B2_23,0.024
,,00529.985120,B2_32,0.013
,,00529.985760,B2_23,0.029
,,00530.027920,B2_23,0.021
,,00530.068720,B2_32,0.012
,,00530.122640,B2_23,0.026
,,00530.194160,B2_32,0.013
,,00530.195120,B2_23,0.028
,,00530.256880,B2_23,0.019
,,00530.321120,B2_23,0.024
,,00530.374080,B2_32,0.012
,,00530.375120,B2_23,0.025
,,00530.421760,B2_32,0.014
,,00530.422720,B2_23,0.021
,,00530.487200,B2_23,0.021
,,00530.628960,B2_32,0.012
,,00530.629920,B2_23,0.027
,,00530.669520,B2_32,0.012
,,00530.724560,B2_32,0.014
,,00530.752960,A3_31,0.019
,,00530.790160,B2_32,0.012
,,00530.991840,B2_32,0.016
,,00531.999200,A2_21,0.024
,,00532.092000,A2_21,0.02
,,00532.340560,A3_31,0.019
,,00532.365680,A2_46,0.018
,,00532.420240,A2_46,0.019
,,00532.571120,A3_31,0.019
,,00533.106960,A2_13,0.016
,,00533.390560,A2_24,0.018
,,00533.399200,A2_24,0.016
,,00533.426640,A2_22,0.022
,,00533.427040,A2_11,0.03
,,00533.429920,A2_66,0.022
,,00533.444560,A2_33,0.013
,,00533.451840,A2_46,0.017
,,00533.457680,A2_33,0.017
,,00533.465120,A2_33,0.014
,,00533.468240,A2_24,0.02
,,00533.468720,A2_22,0.016
,,00533.471040,A2_24,0.019
,,00533.472240,A2_66,0.022
,,00533.475520,A2_33,0.021
,,00533.478960,A2_21,0.026
,,00533.485920,A2_52,0.011
,,00533.486720,A2_24,0.023
,,00533.489040,A2_22,0.02
,,00533.495040,A2_21,0.027
,,00533.496000,A2_66,0.012
,,00533.503440,A2_33,0.02
,,00533.503760,A2_21,0.028
,,00533.515280,A2_21,0.015
,,00533.515280,A2_33,0.017
,,00533.515840,A2_14,0.012
,,00533.518000,A2_32,0.015
,,00533.518880,A2_33,0.014
,,00533.519520,A2_66,0.021
,,00533.530640,A2_33,0.017
,,00533.537360,A2_24,0.018
,,00533.538640,A2_33,0.018
,,00533.540320,A2_22,0.018
,,00533.545760,A2_66,0.02
,,00533.550720,A2_33,0.016
,,00533.553120,A2_33,0.016
,,00533.553920,A2_24,0.024
,,00533.555120,A2_22,0.014
,,00533.560480,A2_22,0.016
,,00533.562000,A2_21,0.015
,,00533.570800,A2_66,0.023
,,00533.575360,A2_33,0.017
,,00533.579200,A2_11,0.02
,,00533.581760,A2_22,0.014
,,00533.582800,A2_42,0.013
,,00533.583600,A2_56,0.012
,,00533.585040,A2_21,0.021
,,00533.585200,A2_22,0.02
,,00533.586240,A2_66,0.015
,,00533.594800,A2_24,0.022
,,00533.599760,A2_33,0.015
,,00533.604560,A2_28,0.011
,,00533.607280,A2_33,0.016
,,00533.613920,A2_33,0.015
,,00533.628160,A2_33,0.019
,,00533.629280,A2_28,0.01
,,00533.635440,A2_33,0.013
,,00533.639840,A2_66,0.015
,,00533.642480,A2_33,0.016
,,00533.649520,A2_33,0.014
,,00533.656800,A2_33,0.016
,,00533.699200,A2_33,0.012
,,00533.706240,A2_24,0.018
,,00533.721280,A2_33,0.015
,,00533.741600,A2_33,0.012
,,00533.767040,A2_33,0.017
,,00533.797760,A2_33,0.016
,,00533.840480,A2_33,0.015
,,00533.848720,A2_24,0.029
,,00533.873600,A2_33,0.012
,,00533.901440,A2_33,0.015
,,00533.912320,A2_66,0.022
,,00533.952240,A2_24,0.02
,,00533.966240,A2_24,0.019
,,00533.972880,A2_33,0.017
,,00534.019600,A2_21,0.021
,,00534.020320,A2_33,0.014
,,00534.033920,A2_28,0.011
,,00534.036080,A2_21,0.018
,,00534.039520,A2_66,0.02
,,00534.048480,A2_33,0.019
,,00534.065840,A2_24,0.015
,,00534.069120,A2_33,0.016
,,00534.078800,A2_33,0.016
,,00534.084240,A2_33,0.015
,,00534.092320,A2_66,0.025
,,00534.096080,A2_33,0.015
,,00534.098560,A2_33,0.018
,,00534.108320,A2_28,0.009
,,00534.111760,A2_33,0.016
,,00534.124480,A2_66,0.011
,,00534.129680,A2_33,0.014
,,00534.136720,A2_22,0.011
,,00534.149280,A2_33,0.021
,,00534.150640,A2_66,0.013
,,00534.289120,A2_33,0.013
,,00534.296160,A2_33,0.015
,,00534.348480,A2_33,0.017
,,00534.359120,A2_66,0.025
,,00534.360320,A2_24,0.025
,,00534.411840,A2_33,0.026
,,00534.432560,A2_33,0.015
,,00534.446960,A2_21,0.014
,,00534.457040,A2_66,0.014
,,00534.459520,A2_22,0.018
,,00534.467920,A2_33,0.015
,,00534.488080,A2_33,0.017
,,00534.491760,A2_66,0.014
,,00534.515920,A2_24,0.021
,,00534.533040,A2_33,0.014
,,00534.534080,A2_66,0.021
,,00534.560400,A2_33,0.022
,,00534.574960,A2_24,0.029
,,00534.586000,A2_33,0.014
,,00534.758320,A2_33,0.014
,,00534.765120,A2_66,0.014
,,00534.766640,A2_24,0.022
,,00534.784080,A2_21,0.014
,,00534.796560,A2_33,0.015
,,00534.832640,A2_33,0.016
,,00534.847440,A2_66,0.018
,,00534.881040,A2_56,0.019
,,00534.929280,A2_66,0.013
,,00535.047600,A2_24,0.027
,,00535.112640,A2_24,0.018
,,00535.121760,A3_31,0.021
,,00535.149680,A2_33,0.02
,,00535.152080,A2_66,0.014
,,00535.184880,A2_33,0.019
,,00535.238240,A2_66,0.021
,,00535.262240,A2_33,0.018
,,00535.265920,A2_33,0.016
,,00535.331120,A2_24,0.023
,,00535.338720,A2_66,0.012
,,00535.407360,A2_66,0.019
,,00535.496000,A2_33,0.018
,,00535.536080,A2_24,0.018
,,00535.583840,A2_66,0.014
,,00535.609040,A2_33,0.015
,,00535.780400,A3_31,0.018
,,00535.853600,A2_66,0.021
,,00535.858000,A2_33,0.017
,,00535.864400,A3_31,0.019
,,00535.931680,A2_33,0.022
,,00535.944000,A2_66,0.018
,,00535.948400,A2_24,0.025
,,00536.099920,A2_33,0.013
,,00536.179680,A2_66,0.014
,,00536.250560,A2_33,0.018
,,00536.338000,A2_66,0.016
,,00536.420480,A2_33,0.016
,,00537.308400,A3_31,0.019
,,00537.770640,A2_24,0.02
,,00538.712880,A2_46,0.015
,,00538.755200,A3_72,0.018
,,00538.788000,A3_21,0.017
,,00538.815200,A3_21,0.017
,,00538.843920,A3_21,0.013
,,00538.885120,A3_21,0.016
,,00538.906560,A3_21,0.017
,,00538.999760,A3_21,0.009
,,00539.096800,A2_21,0.02
,,00540.047200,A3_21,0.016
,,00540.389920,A3_31,0.018
,,00540.830400,A2_24,0.015
,,00540.887760,A3_31,0.012
,,00541.035120,A2_21,0.023
,,00541.068560,A2_22,0.019
,,00541.099600,A2_24,0.015
,,00541.121520,A2_66,0.027
,,00541.130720,A2_33,0.013
,,00541.144160,A2_22,0.018
,,00541.145360,A2_11,0.02
,,00541.160320,A2_46,0.016
,,00541.162320,A2_33,0.013
,,00541.164240,A2_24,0.018
,,00541.176720,A2_33,0.013
,,00541.176960,A2_24,0.02
,,00541.180640,A2_33,0.012
,,00541.184320,A2_24,0.015
,,00541.187680,A2_33,0.015
,,00541.193680,A2_66,0.022
,,00541.195840,A2_42,0.014
,,00541.206880,A2_21,0.026
,,00541.212000,A2_33,0.018
,,00541.216080,A2_33,0.018
,,00541.225360,A2_21,0.019
,,00541.230080,A2_33,0.018
,,00541.232400,A2_66,0.018
,,00541.235600,A2_33,0.018
,,00541.235760,A2_21,0.016
,,00541.240960,A2_28,0.011
,,00541.246320,A2_33,0.017
,,00541.250560,A2_33,0.02
,,00541.251440,A2_56,0.015
,,00541.253200,A2_33,0.015
,,00541.262880,A2_33,0.019
,,00541.273840,A2_66,0.012
,,00541.274720,A2_56,0.014
,,00541.278560,A2_33,0.024
,,00541.285360,A2_24,0.018
,,00541.301600,A2_24,0.022
,,00541.303840,A2_33,0.015
,,00541.308640,A2_33,0.016
,,00541.312640,A2_66,0.02
,,00541.317120,A2_24,0.019
,,00541.318240,A2_11,0.019
,,00541.327760,A2_24,0.023
,,00541.328880,A2_66,0.012
,,00541.335120,A2_32,0.019
,,00541.339040,A2_21,0.018
,,00541.342240,A2_33,0.017
,,00541.343680,A2_66,0.02
,,00541.361120,A2_66,0.014
,,00541.366640,A2_33,0.019
,,00541.379840,A2_33,0.02
,,00541.388320,A2_33,0.015
,,00541.392240,A2_33,0.015
,,00541.394560,A2_24,0.016
,,00541.405440,A2_33,0.018
,,00541.409040,A2_24,0.017
,,00541.418080,A2_33,0.018
,,00541.432640,A2_33,0.019
,,00541.468640,A2_33,0.016
,,00541.543280,A2_33,0.015
,,00541.548880,A2_24,0.027
,,00541.575760,A2_33,0.015
,,00541.647280,A2_66,0.014
,,00541.718160,A2_33,0.016
,,00541.723120,A2_33,0.012
,,00541.753520,A2_21,0.019
,,00541.761920,A2_33,0.013
,,00541.771280,A2_33,0.014
,,00541.806640,A2_66,0.015
,,00541.812400,A2_33,0.021
,,00541.830480,A2_32,0.014
,,00541.867600,A2_66,0.022
,,00541.872880,A2_33,0.018
,,00541.876000,A2_33,0.022
,,00541.880320,A2_24,0.021
,,00541.883040,B2_43,0.01
,,00541.886800,B2_32,0.013
,,00541.887600,B2_23,0.032
,,00541.895680,B2_23,0.025
,,00541.904480,B2_32,0.013
,,00541.907760,B2_32,0.013
,,00541.911360,A3_31,0.015
,,00541.917600,B2_41,0.014
,,00541.918560,B2_23,0.023
,,00541.922160,A2_33,0.015
,,00541.930240,A2_28,0.01
,,00541.937520,A2_33,0.015
,,00541.939760,B2_23,0.026
,,00541.955440,A2_66,0.015
,,00541.961360,A2_33,0.014
,,00541.977920,A2_33,0.019
,,00541.985680,B2_32,0.014
,,00541.994000,A2_24,0.022
,,00541.995520,A3_31,0.02
,,00542.005520,B2_23,0.027
,,00542.015680,B2_41,0.011
,,00542.016400,A2_33,0.013
,,00542.018880,B2_32,0.013
,,00542.019840,B2_23,0.028
,,00542.034640,A2_33,0.016
,,00542.036240,B2_23,0.027
,,00542.076080,B2_23,0.022
,,00542.078000,A2_66,0.016
,,00542.097760,A2_33,0.013
,,00542.110000,B2_23,0.026
,,00542.133360,A2_21,0.016
,,00542.146160,B2_23,0.02
,,00542.148880,A2_24,0.019
,,00542.160080,A2_24,0.018
,,00542.204640,A2_66,0.013
,,00542.209600,B2_23,0.021
,,00542.218320,A2_46,0.015
,,00542.264080,A2_33,0.014
,,00542.344880,B2_23,0.023
,,00542.345360,A2_66,0.018
,,00542.375600,B2_23,0.024
,,00542.394160,A2_33,0.015
,,00542.430480,B2_23,0.023
,,00542.471840,A2_52,0.013
,,00542.472960,A2_33,0.014
,,00542.486320,A2_21,0.017
,,00542.498160,A2_24,0.017
,,00542.521360,A2_66,0.024
,,00542.544000,A2_33,0.022
,,00542.547040,A2_33,0.015
,,00542.596400,A2_66,0.022
,,00542.607360,A2_33,0.016
,,00542.652880,A2_28,0.011
,,00542.660000,B2_23,0.028
,,00542.679840,B2_32,0.013
,,00542.680800,B2_23,0.026
,,00542.684000,A2_33,0.015
,,00542.727600,A2_33,0.015
,,00542.732080,B2_23,0.024
,,00542.742400,A2_33,0.013
,,00542.768080,B2_23,0.025
,,00542.799680,B2_23,0.023
,,00542.855920,A2_42,0.012
,,00542.871440,A2_66,0.014
,,00542.903680,B2_23,0.026
,,00542.946000,B2_32,0.014
,,00542.946960,B2_23,0.019
,,00542.978560,B2_32,0.016
,,00542.997920,A2_66,0.016
,,00543.007760,B2_23,0.02
,,00543.019600,A2_24,0.02
,,00543.030080,A2_24,0.019
,,00543.036000,A2_33,0.017
,,00543.056160,B2_32,0.014
,,00543.057120,B2_23,0.023
,,00543.099360,B2_23,0.024
,,00543.110720,A2_33,0.015
,,00543.139600,B2_23,0.023
,,00543.202000,B2_32,0.012
,,00543.239200,B2_23,0.024
,,00543.282240,B2_32,0.013
,,00543.283200,B2_23,0.022
,,00543.440160,B2_23,0.029
